student_id,name,program,gender,age,study_mode,gpa_sem1,gpa_sem2,attendance_rate,hours_studied_per_week,co_curricular,fee_payment_status,overall_gpa
5001,Student_1,BSc SE,F,23,Full-Time,3.89,3.87,87.5,11.3,Volunteer,Paid,3.88
5002,Student_2,BSc CS,M,23,Full-Time,1.74,1.63,83.8,13.1,Volunteer,Paid,1.68
5003,Student_3,BSc SE,F,26,Full-Time,1.84,1.99,94.1,12.0,Leadership,Paid,1.92
5004,Student_4,BSc CS,F,20,Full-Time,2.99,3.51,100.0,12.9,Sports,Paid,3.25
5005,Student_5,Diploma IT,M,27,Full-Time,1.69,2.88,76.3,3.9,Clubs,Outstanding,2.28
5006,Student_6,Diploma CS,M,27,Part-Time,2.56,2.88,87.8,11.7,None,Paid,2.72
5007,Student_7,Diploma CS,M,29,Full-Time,2.8,3.3,95.8,5.7,Clubs,Paid,3.05
5008,Student_8,Diploma IT,F,26,Full-Time,2.7,2.29,92.1,9.1,Volunteer,Paid,2.5
5009,Student_9,Diploma IT,F,19,Part-Time,2.78,3.42,79.2,5.4,Volunteer,Paid,3.1
5010,Student_10,BSc CS,F,25,Part-Time,3.8,3.46,80.7,6.7,None,Paid,3.63
5011,Student_11,Diploma CS,M,23,Part-Time,2.92,3.62,82.5,9.1,None,Outstanding,3.27
5012,Student_12,BSc CS,F,23,Part-Time,2.76,2.96,87.8,2.9,None,Paid,2.86
5013,Student_13,BSc CS,F,18,Full-Time,2.07,1.75,82.4,12.9,Sports,Paid,1.91
5014,Student_14,BSc SE,M,21,Part-Time,3.53,3.71,73.6,6.6,None,Outstanding,3.62
5015,Student_15,Diploma IT,M,28,Part-Time,3.81,4.0,96.2,5.8,Leadership,Outstanding,3.9
5016,Student_16,Diploma IT,F,23,Full-Time,2.59,1.55,92.4,13.9,None,Paid,2.07
5017,Student_17,BSc SE,F,19,Full-Time,1.74,1.82,86.3,11.9,Sports,Paid,1.78
5018,Student_18,Diploma IT,M,23,Full-Time,3.31,3.16,88.7,10.9,Leadership,Paid,3.24
5019,Student_19,BSc CS,M,20,Part-Time,1.9,2.05,88.0,2.3,Clubs,Paid,1.98
5020,Student_20,BSc CS,F,19,Full-Time,2.71,2.39,88.7,3.7,Clubs,Paid,2.55
5021,Student_21,Diploma IT,M,25,Full-Time,2.61,3.37,100.0,9.8,None,Outstanding,2.99
5022,Student_22,Diploma CS,F,20,Full-Time,2.94,2.58,88.6,10.8,None,Paid,2.76
5023,Student_23,Diploma IT,F,23,Full-Time,1.93,1.82,81.8,8.3,Clubs,Paid,1.88
5024,Student_24,Diploma IT,F,18,Full-Time,3.6,3.81,88.1,7.8,None,Paid,3.7
5025,Student_25,BSc CS,M,18,Part-Time,2.11,2.06,,15.7,Sports,Paid,2.08
5026,Student_26,Diploma IT,F,23,Full-Time,2.71,2.7,,7.5,Leadership,Paid,2.7
5027,Student_27,BSc CS,M,19,Part-Time,3.41,3.7,64.8,5.9,Volunteer,Paid,3.56
5028,Student_28,BSc SE,F,26,Full-Time,3.03,2.95,72.3,,None,Paid,2.99
5029,Student_29,Diploma IT,M,19,Full-Time,2.51,2.09,70.7,11.9,Clubs,Paid,2.3
5030,Student_30,Diploma CS,F,20,Full-Time,3.3,3.38,81.2,10.5,None,Paid,3.34
5031,Student_31,Diploma IT,M,18,Full-Time,3.61,2.99,81.0,13.6,Clubs,Paid,3.3
5032,Student_32,Diploma CS,M,19,Full-Time,4.0,3.16,84.0,6.7,None,Paid,3.58
5033,Student_33,Diploma IT,M,19,Part-Time,3.91,3.56,90.5,6.2,Leadership,Paid,3.74
5034,Student_34,BSc CS,F,29,Full-Time,1.68,1.96,79.9,8.3,None,Paid,1.82
5035,Student_35,Diploma IT,M,20,Full-Time,3.5,3.52,91.8,13.2,Clubs,Paid,3.51
5036,Student_36,BSc SE,M,21,Full-Time,1.87,2.11,66.2,11.5,Volunteer,Outstanding,1.99
5037,Student_37,BSc SE,F,23,Part-Time,2.32,2.33,75.7,14.3,Clubs,Paid,2.33
5038,Student_38,BSc SE,F,18,Part-Time,3.06,2.92,84.9,8.4,None,Outstanding,2.99
5039,Student_39,Diploma IT,F,28,Full-Time,2.46,2.54,90.7,8.8,Clubs,Paid,2.5
5040,Student_40,Diploma CS,F,28,Full-Time,2.31,2.32,69.1,13.8,Clubs,Paid,2.32
5041,Student_41,BSc CS,F,23,Full-Time,2.33,2.57,86.4,12.3,Clubs,Paid,2.45
5042,Student_42,BSc SE,M,24,Full-Time,3.69,4.0,78.4,14.8,Clubs,Outstanding,3.84
5043,Student_43,BSc CS,M,29,Part-Time,2.43,2.76,77.2,8.1,None,Paid,2.6
5044,Student_44,Diploma IT,M,20,Full-Time,1.97,2.43,75.1,7.7,Clubs,Outstanding,2.2
5045,Student_45,Diploma IT,F,24,Full-Time,1.98,1.44,,11.6,Leadership,Paid,1.71
5046,Student_46,BSc SE,M,19,Full-Time,2.75,2.87,86.8,12.4,Clubs,Outstanding,2.81
5047,Student_47,Diploma IT,F,27,Full-Time,2.04,2.82,77.5,14.9,None,Outstanding,2.43
5048,Student_48,BSc SE,F,22,Full-Time,2.84,3.03,81.7,11.1,Leadership,Outstanding,2.93
5049,Student_49,Diploma CS,F,19,Full-Time,3.23,2.58,84.3,15.5,None,Paid,2.9
5050,Student_50,Diploma IT,M,21,Part-Time,3.26,3.32,86.8,12.5,Clubs,Paid,3.29
5051,Student_51,BSc SE,M,23,Full-Time,3.37,3.05,77.5,6.5,Sports,Paid,3.21
5052,Student_52,BSc CS,M,21,Part-Time,2.69,3.02,88.6,3.4,Volunteer,Paid,2.86
5053,Student_53,Diploma IT,M,28,Full-Time,1.63,1.83,100.0,10.3,Leadership,Paid,1.73
5054,Student_54,Diploma CS,F,19,Full-Time,2.47,2.91,64.7,10.8,Leadership,Paid,2.69
5055,Student_55,BSc SE,M,25,Full-Time,2.66,,72.1,9.6,Leadership,Paid,2.76
5056,Student_56,Diploma CS,M,18,Full-Time,2.32,2.1,,17.6,Clubs,Paid,2.21
5057,Student_57,BSc SE,M,19,Full-Time,2.66,3.04,76.1,4.4,None,Paid,2.85
5058,Student_58,Diploma IT,M,25,Full-Time,2.71,3.43,86.1,10.4,None,Outstanding,3.07
5059,Student_59,Diploma CS,F,23,Full-Time,3.79,3.72,80.3,12.3,Volunteer,Paid,3.76
5060,Student_60,Diploma IT,F,23,Part-Time,3.48,3.94,84.9,12.8,Clubs,Paid,3.71
5061,Student_61,BSc CS,M,20,Full-Time,2.2,2.31,91.0,7.3,None,Outstanding,2.26
5062,Student_62,Diploma CS,M,29,Part-Time,1.93,1.54,,13.6,None,Paid,1.74
5063,Student_63,Diploma IT,F,22,Part-Time,3.52,3.26,65.9,7.4,Clubs,Paid,3.39
5064,Student_64,BSc CS,F,26,Full-Time,2.16,1.71,80.4,5.5,Volunteer,Paid,1.94
5065,Student_65,Diploma CS,M,28,Full-Time,2.8,3.03,89.7,11.5,Clubs,Paid,2.92
5066,Student_66,BSc CS,M,21,Full-Time,3.43,3.18,86.7,11.4,Leadership,Paid,3.3
5067,Student_67,BSc SE,M,24,Part-Time,2.57,3.07,77.0,14.6,Clubs,Paid,2.82
